reply_text,reply_username,reply_date,language,tweet_id
"Meanwhile, her militias killing Hindus in Murshidabad",@ZackPreacher,2025-05-24T19:49:51.000Z,en,-1218090260875100000
Delegation visited murshidabad or not madam?,@Nalayukkk,2025-05-24T16:42:48.000Z,en,-1218090260875100000
Distance between Calcutta and Srinagar  :  2262 kms Distance between Calcutta and Murshidabad  :  216 kms সত্য সেলুকাস  কি বিচিত্র এই দেশ  !!!,@Puspendu_RSP,2025-05-24T18:41:52.000Z,en,-1218090260875100000
"Worry about your state.. large scale drone sighting un kolkata sky.. ur cops r sleeping.. places like tangda, mominpur, metiabruz etc r bcming breeding grounds fr large scale anti national activities. U r either sleeping or complicit.",@Adm_Gen_Alladin,2025-05-24T17:31:37.000Z,en,-1218090260875100000
Kolkata to Murshidabad 216 Km  Kolkata to Poonch 2294 Km.,@jammuvishal,2025-05-24T18:19:21.000Z,in,-1218090260875100000
"Instead of doing all these nuisance, you should have done your duty as CM WB at the Niti Ayog meet which as usual, you skipped.  Why are you afraid to go to any meeting outside WB, Kolkata?? Because they ask you hard questions? They all know your rank incompetence, corruption.",@Arijit_Dodul,2025-05-24T17:22:51.000Z,en,-1218090260875100000
"I guess murshidabad is in another country, hence your delegates can't go there.",@janawlek,2025-05-24T17:34:11.000Z,en,-1218090260875100000
"What purpose does it serve?   You can't response to the shelling by Pakistan and are too broke to help these people rebuild their houses, lives.   You are merely creating some good optics with your Muslim votebank and covering up your gross incompetence and failures in govt",@Arijit_Dodul,2025-05-24T17:17:01.000Z,en,-1218090260875100000
They should go to the murshidabad also to inquire. about 400 Hindu fled from murshidabad. You have become like a laughing stock of Bengal,@NirmalGanguly,2025-05-24T19:24:32.000Z,en,-1218090260875100000
Shut your mouth characterless lady who does the riots in WB against Hindus. Plastic ke keede padenge Tum logo ko.,@Pranjaljoshi93,2025-05-24T18:37:54.000Z,en,-1218090260875100000
But you forgot about murshidabad miss madam,@SahebDa01081191,2025-05-24T18:47:56.000Z,en,-1218090260875100000
And yet Murshidabad seemed very far and inaccessible.,@Nabarun89360878,2025-05-24T17:43:13.000Z,en,-1218090260875100000
What about Murshidabad Hindus?.  Could u send any delegation there to hear sad plight of Hindu,@nathtapas,2025-05-25T03:30:34.000Z,en,-1218090260875100000
Hindus is your own state West Bengal is living in poor state than this … please send a delegation for them too… central Govt is there to take care of them…,@Gautam5042,2025-05-24T16:47:37.000Z,en,-1218090260875100000
"Your government is incapable of protecting Hindus in west bengal itself, No control on Bangladeshis and Rohingyas   And your focus is on this bogus and fake sympathy... politicians like you are cursed to the Nation   #JayshreeRam",@Ikraghu1c,2025-05-24T17:28:55.000Z,en,-1218090260875100000
Apni ar apnar bhaipo ei bodo silpo gulo kobe chalu korchen,@Sakti9967,2025-05-24T18:56:52.000Z,lt,-1218090260875100000
"Your Excellency honarable madam, this is tomuch pathacik condition, Tarerist country of Pakistan are required topmost Tarerist and spend all over the world for tariresam.",@ParthaG69981508,2025-05-25T02:25:42.000Z,en,-1218090260875100000
সকলকে প্রণাম,@Bishaktoguddu,2025-05-24T17:21:15.000Z,bn,-1218090260875100000
Thank you didi,@MitraSpeaks,2025-05-24T17:26:15.000Z,en,-1218090260875100000
Not a single post on #MurshidabadViolence ?,@gyanibaba2047,2025-05-25T12:35:55.000Z,en,-1218090260875100000
You should now allow a similar party delegation of NC PDP and other parties to Murshidabad to meet victims of riots,@VishalGBhat,2025-05-25T15:09:03.000Z,en,-1218090260875100000
"I think if each state sends one delegation each , the the local administration has to fix timings for visitors like in hospitals… visitors are not announcing any help for the locals , just wasting thier time, they will remember the visitors if they give some relief … everyone",@mvstoyota333,2025-05-24T17:22:48.000Z,en,-1218090260875100000
Natak,@shantonu123,2025-05-24T17:26:06.000Z,in,-1218090260875100000
First look at your state...,@I_M_PratyushDas,2025-05-24T17:43:19.000Z,en,-1218090260875100000
Heartfelt thanks to the AITC delegation ( @derekobrienmp  @sagarikaghose  @MdNadimulHaque6  @MamataThakurTMC  @ManasB_Official ) for standing tall in this critical moment.  The people of Bengal and India stand shoulder to shoulder with our co-citizens in the border villages of Kashmir.,@anupsaha925,2025-05-24T17:43:27.000Z,en,-1218090260875100000
Please first check west bengal border,@YashXplorer,2025-05-24T18:41:28.000Z,en,-1218090260875100000
All for election votes,@noname007134,2025-05-25T12:31:30.000Z,en,-1218090260875100000
"You have turned West Bengal to another Kashmir with hindu genocide. Last month I visited my hometown and was shocked to the sheer number of muslims. Educated Bengali hindu middle class are forced to leave WB due to lack of jobs, terror and gunda culture. Wake up!",@Avantikababi,2025-05-25T15:03:38.000Z,en,-1218090260875100000
"My mother was once your huge fan, not anymore!",@Avantikababi,2025-05-25T15:04:02.000Z,en,-1218090260875100000
"We were once your huge fan, not anymore. Middle class hindu bengalis have given up all hope",@Avantikababi,2025-05-25T15:04:34.000Z,en,-1218090260875100000
"Didi! With all due honesty, your & your party's humanitarian efforts would've been much appreciated had you people shown the similar concern for the victims of genocide in J&K in 1991, or the victims of Pahalgam terror, or for the victims of Sandeshkhali & Murshidabad too.",@UndauntedSpirit,2025-05-25T15:11:04.000Z,en,-1218090260875100000
Madam vote k liye kya kya Krna pdhta... History will remember you with disgrace.,@AwesomeharshHmg,2025-05-25T16:15:13.000Z,en,-1218090260875100000
They went to assess what more damage can be   done and this is well known to all Indian Hindus.,@MohanRao_IND,2025-05-25T17:07:30.000Z,en,-1218090260875100000
Kindly bring your focus on Murshidaabad issue and ssc scam..!! Let central govt handle the kashmir issue..!!,@BruceWayne1087,2025-05-25T17:07:31.000Z,en,-1218090260875100000
I am a pure bengali but from another state whom can't you controll ok just go to hell you Hindu bloody thirsty women,@SahebDa01081191,2025-05-24T18:50:28.000Z,en,-1218090260875100000
Yet hou will lose next election like kejri.,@MulhidKhadija,2025-05-24T18:55:41.000Z,en,-1218090260875100000
#JaiBangla,@AzadSk340953,2025-05-24T19:00:29.000Z,qme,-1218090260875100000
"Jai Hind,Vande Mataram, Jai Bangla.",@GoutamSaha94343,2025-05-24T19:22:31.000Z,hi,-1218090260875100000
Best CM,@satish6565,2025-05-24T19:40:11.000Z,et,-1218090260875100000
Cute,@wildgod1,2025-05-24T20:21:10.000Z,en,-1218090260875100000
Mam,@Sudiplohar333,2025-05-24T20:25:22.000Z,und,-1218090260875100000
Vote e sob takai sob.. manus er jibon just ekta joke,@TruthWithRaj0,2025-05-24T23:42:26.000Z,tl,-1218090260875100000
"You should have visited affected people of Uri ,Karnah and Guraz also.",@JDShah78877357,2025-05-25T01:24:25.000Z,en,-1218090260875100000
Party fund Se Kuch diaaa ki Nahi,@Varungu98975197,2025-05-25T03:36:44.000Z,de,-1218090260875100000
Best CM,@satish6565,2025-05-24T19:40:11.000Z,et,-1218090260875100000
Cute,@wildgod1,2025-05-24T20:21:10.000Z,en,-1218090260875100000
Mam,@Sudiplohar333,2025-05-24T20:25:22.000Z,und,-1218090260875100000
Vote e sob takai sob.. manus er jibon just ekta joke,@TruthWithRaj0,2025-05-24T23:42:26.000Z,tl,-1218090260875100000
"You should have visited affected people of Uri ,Karnah and Guraz also.",@JDShah78877357,2025-05-25T01:24:25.000Z,en,-1218090260875100000
Party fund Se Kuch diaaa ki Nahi,@Varungu98975197,2025-05-25T03:36:44.000Z,de,-1218090260875100000
"For backstabbing our nation, you shall face the consequences. What goes around comes around.",@iamgauravbalyan,2025-05-25T08:15:25.000Z,en,-1218090260875100000
#MamataBanerjeeZindabad  #TMF4TMC  #TMF,@SAIKAT_DAS_AITC,2025-05-25T09:30:29.000Z,qme,-1218090260875100000
Jay hind,@kousdas1975,2025-05-25T10:52:15.000Z,en,-1218090260875100000
Nation First,@PK_Official4You,2025-05-25T11:02:15.000Z,en,-1218090260875100000
Mullader chatte hobe to. Tai geche.,@modiparibar143,2025-05-25T12:00:52.000Z,de,-1218090260875100000
"তুমি আমাদের কখন মুর্শিদাবাদে পাঠাবে?  তোমার মুসলিম লোকেরা হিন্দু বাঙালিদের ঘরবাড়ি এবং হিন্দু মন্দির ধ্বংস করেছে, ঘরবাড়ি পুড়িয়ে দিয়েছে, হিন্দু পরিবারকে হত্যা করেছে এবং গণহত্যা করেছে।",@SagarCwc,2025-05-25T12:11:42.000Z,bn,-1218090260875100000
"For backstabbing our nation, you shall face the consequences. What goes around comes around.",@iamgauravbalyan,2025-05-25T08:15:25.000Z,en,-1218090260875100000
#MamataBanerjeeZindabad  #TMF4TMC  #TMF,@SAIKAT_DAS_AITC,2025-05-25T09:30:29.000Z,qme,-1218090260875100000
Jay hind,@kousdas1975,2025-05-25T10:52:15.000Z,en,-1218090260875100000
