tweet_id,tweet_text,tweet_date,language
-1218090260875100000,"I deeply appreciate the efforts of our 5-member delegation who visited the border districts of Poonch and Rajouri, recently affected by cross-border shelling. They met grieving families, shared in their sorrow, and offered words of comfort and support during this time of immense pain.  The delegation also visited the Government Medical College in Rajouri to check on those injured and undergoing treatment. They interacted with the attending doctors and conveyed deep appreciation for their service.  In moments of crisis, what the people need most is the healing touch of compassion, and I am deeply grateful to our delegation for offering just that. It reaffirms our collective promise that as public representatives, we will always stand by the people in their hour of need.",2025-05-24T16:41:12.000Z,en
-1493431455129040100,"I am happy to receive the information that our Purnam Kumar Shaw, the BSF jawan, has been released. I had all along been in touch with his family and spoke thrice with his wife here at Rishra, Hugli. Today also I called her. All the very best wishes for my brother-like jawan, his entire family including his wife Rajni Shaw.",2025-05-14T07:39:17.000Z,en
-1595116097263840000,"“মোরা এক বৃন্তে দুটি কুসুম হিন্দু-মুসলমান”  বিদ্রোহী কবি কাজী নজরুল ইসলামের জন্মবার্ষিকীতে জানাই আন্তরিক শ্রদ্ধার্ঘ্য।   আমরা কবির স্মরণে তাঁর জন্মক্ষেত্রের কাছে আসানসোলে তাঁর নামে কাজী নজরুল বিশ্ববিদ্যালয় করেছি, ওই অঞ্চলেই অন্ডালে আমাদের গ্রিনফিল্ড বিমানবন্দরের নাম রেখেছি কাজী নজরুল ইসলাম এয়ারপোর্ট। তাঁরই প্রতি শ্রদ্ধায় করেছি 'নজরুল তীর্থ' এবং 'পশ্চিমবঙ্গ কাজী নজরুল ইসলাম আকাদেমি'। প্রকাশ করেছি কবির উপর নানা গবেষণা-গ্রন্থ।   কবি আমাদের নিত্য-স্মরণীয়, সঙ্কটে কান্ডারি!",2025-05-26T01:00:32.000Z,bn
-1707489603044590000,"I deeply appreciate the efforts of our 5-member delegation who visited the border districts of Poonch and Rajouri, recently affected by cross-border shelling. They met grieving families, shared in their sorrow, and offered words of comfort and support during this time of immense pain.  The delegation also visited the Government Medical College in Rajouri to check on those injured and undergoing treatment. They interacted with the attending doctors and conveyed deep appreciation for their service.  In moments of crisis, what the people need most is the healing touch of compassion, and I am deeply grateful to our delegation for offering just that. It reaffirms our collective promise that as public representatives, we will always stand by the people in their hour of need.",2025-05-24T16:41:12.000Z,en
-3661097432475220000,"I pay my humble tributes today, on his birthday, to Raja Ram Mohan Roy, the pioneer figure of Indian modernity and the great social reformer.    Ram Mohan was the first major figure of the Indian Renaissance and a visionary for enlightened and nationalist India. We remember him at every step of our life even today.",2025-05-22T01:00:01.000Z,en
-3898053531254200000,"Yesterday a vicious and false campaign was there at Alipurduar in North Bengal from a  self-serving and politically motivated point of view for narrow power gains. This was a campaign that attempted  to downplay and erase out  the significant development works of our government for the people in Alipurduar district. The blatant untruths were served from the high quarters of the Hon'ble Prime Minister. Therefore, I want to share some facts and data relating to  our actual impactful initiatives for the people of Alipurduar.  Bringing Administration Closer:   To enhance administrative accessibility, we established Alipurduar district as Bengal's 20th district in June 2014. Since its formation, the district has experienced substantial developmental progress across various sectors, ensuring that every resident has benefited from at least one state government scheme.  Infrastructure Development:  We've made significant strides in infrastructure, starting with the model integrated administrative building, 'Dooars Kanya.' Our efforts extend to:  • Healthcare: We've established a Multi Super Speciality Hospital in Falakata, an Ayush Hospital, a Nursing School, 2 SNCUs, 7 SNSUs, 3 Blood Banks, and 207 Wellness Centres.  • Education: We've established Alipurduar University, a Government Engineering College, 7 new government colleges, 15 primary schools, 52 upper primary schools, and 15 student hostels.  • Public Amenities: This includes 6 Kishanmandis, 3 Sufal Bangla stalls, 8 Karmatirthas, 560 Anganwadi centers, 8 electric substations, a new Falakata Super Market, a new Stadium, a Women's Police Station, and 60 operational Bangla Sahayata Kendras (Citizen Service Centres).   Social Security Scheme Benefits:  We are at the forefront of social security schemes, and the people of Alipurduar have greatly benefited. Over ₹1200 crore has been disbursed through various programs, including: •Lakshmir Bhandar: 3.57 lakh beneficiaries •Kanyashree: 5.72 lakh beneficiaries •Khadyasathi: 12.91 lakh beneficiaries •Sabuj Sathi: 2.54 lakh beneficiaries •Rupashree: 46,000 beneficiaries •Swasthya Sathi: Over 4 lakh beneficiaries •Shikshashree: 3.10 lakh beneficiaries •Aikyashree: 2.05 lakh beneficiaries •Tabs under Taruner Swapna: 63 thousand beneficiaries •Joy Johar Pension: 15,396 beneficiaries •Tapashili Bandhu Pension: 29,486 beneficiaries •Krishak Bandhu (New): 95,000 beneficiaries •Bangla Shasya Bima: 1.18 lakh beneficiaries •Binamulye Samajik Suraksha Yojana: 2.75 lakh beneficiaries  Patta Distribution:   We've distributed over 37,000 pattas, including 17,072 land pattas, 12,614 refugee pattas, 6,397 forest pattas, and 1,127 Chaa Sundari pattas.  Key Development Projects:   Under the Jalswapna project, 2.11 lakh out of 3.65 lakh households now have drinking water connections.   The Banglar Bari scheme has provided ₹546.13 crore to 45,511 families for housing.   The Karmashree scheme has generated 1.28 crore mandays for 2.84 lakh people, at a cost of approximately ₹300 crore.  Connectivity Development:   •More than 4,266 km of roads including rural roads under Pathashree scheme have been constructed at a cost of about Rs 4,000 crore.  •45 new bridges have been built at a cost of more than Rs 150 Crore. Bridges over the rivers Bala, Basra, Dima, Buritorsha, Kumai and many other rivers have been constructed.  •A new bus stand has been constructed at Alipurduar at a cost of Rs 28 crore.  Tea Garden and Worker Development:   •For Alipurduar's 61 tea gardens, the state government has successfully reopened 8 closed gardens, increased worker wages to ₹250 (the highest in India), monthly financial aid is given to workers of closed gardens and we provide free ration, drinking water, electricity, and medical facilities. Creches are also being built for the benefit of female workers.  •The Chaa Sundari Project has built houses for 2,969 families, with an additional 14,000 families benefiting from financial assistance for home construction.   Industry:  Two industrial parks are under development, and 14,105 MSME units have created over 38,000 jobs.   Tourism:  Tourism is being boosted with tea tourism projects and two religious tourism circuits, promoting homestays (74 registered) to generate local employment.  Rajbanshi & Kamtapuri Development:  • We have given official language status (other than Bengali and English) to Rajbanshi and Kamtapuri in Bengal. So now we have 13 languages with official status which include Santali, Kurukh, Kurmali, Rajbanshi, Kamtapuri, Punjabi, Nepali, Urdu, Hindi, Oriya, Telugu. •Development boards and academies have been formed to promote their culture.  •Thakur Panchanan Barma's birthday is a public holiday, and his renovated house is now a museum.  •About 200 Rajbanshi schools have been given government approval.  •100 Sadri language schools are proposed to be opened. Syllabus preparation is under process.  •Narayani Battalion (Headquarters – Mekhliganj) has been formed in the state police.  •A 15-feet tall bronze statue of Mahabir Chila Roy has been installed in Baburhat.   Tribal Development:   •A bill for Sarna/Sari religion recognition has been passed. •Tribal land transfer to non-tribals has been prohibited. •Forest pattas are being distributed.  •Holidays have been declared on the birthdays of Birsa Munda and Pandit Raghunath Murmu and Hul Diwas, and the holy Karam Puja has been declared a state holiday.  •Over 3 lakh tribal people receive 'Jai Johar' old age pension •Santhali medium schools have been established. Degree courses in Santali language have been introduced in colleges.  •Development of Jaher Thans and Majhi Thans have been undertaken.  •Dhamsa Madals are being distributed to the tribal artistes.   These are just some of the many initiatives that highlight our commitment to the holistic development of Alipurduar.   We always try to do our best for the people of Bengal, that is why they are with us. We do not divide people on the basis of religion, race, caste, or narrow-mindedness. We continuously work for the people, always standing by their side.   Jai Bangla!",2025-05-30T13:55:15.000Z,en
-537320419809758000,"I convey my tribute to the legendary mountaineer Tenzing Norgay Sherpa whose 111th birth anniversary is being celebrated today. His courage continues to inspire adventurers around the world.  Today also marks the 72nd Everest Day, honoring the historic first successful ascent of Mount Everest by him and Sir Edmund Hillary.   Let’s remember the spirit of determination that touched the highest peak of the world.",2025-05-29T01:00:01.000Z,en
-6874775965377680000,"My deepest respect to Late Jawaharlal Nehru, former Prime Minister of India, on his death anniversary.   A great statesman and humanist, Pandit Nehru was the visionary architect of modern India.   His ideas will continue to inspire all who love democracy.",2025-05-27T01:00:00.000Z,en
-7358923515258920000,"খ্যাতনামা চলচ্চিত্র পরিচালক ঋতুপর্ণ ঘোষের মৃত্যুবার্ষিকীতে জানাই আন্তরিক শ্রদ্ধাঞ্জলি। সিনেমামাধ্যম যতদিন বেঁচে থাকবে ততদিন তাঁর নাম মানুষ এমনই শ্রদ্ধার সঙ্গে স্মরণ করবে।   ঋতু, তোমাকে আমরা ভুলিনি, ভুলবো না।",2025-05-30T01:00:00.000Z,bn
-7569576691552910000,"I am happy to announce that today, the State Government has started releasing financial assistance of ₹158 crore directly to the bank accounts of more than 1 lakh potato farmers of Bengal under the ‘Bangla Shasya Bima’ scheme. I extend my heartfelt congratulations to all the farmers of Bengal and their families.  This assistance is being provided to those farmers who suffered losses in potato cultivation due to adverse weather during the current Rabi season.  In this context, let me mention that the farmers of Bengal receive crop insurance completely free of cost. The state government pays the entire premium for all crops.  We are proud that since its launch in 2019, our government has already provided more than ₹3,720 crore as assistance to the farmers of Bengal under the ‘Bangla Shasya Bima’ scheme alone.  We will continue to stand by the farmers of Bengal in the coming days also.  Jai Bangla!",2025-05-20T09:45:00.000Z,en
