raw_text,cleaned_text,analyzed_text,tweet_text,reply_username,reply_date,tweet_id,language,coarse_sentiment,fine_sentiment,confidence,relevance_score,relevance_label
"Meanwhile, her militias killing Hindus in Murshidabad","Meanwhile, her militias killing Hindus in Murshidabad","Meanwhile, her militias killing Hindus in Murshidabad","I deeply appreciate the efforts of our 5-member delegation who visited the border districts of Poonch and Rajouri, recently affected by cross-border shelling. They met grieving families, shared in their sorrow, and offered words of comfort and support during this time of immense pain.  The delegation also visited the Government Medical College in Rajouri to check on those injured and undergoing treatment. They interacted with the attending doctors and conveyed deep appreciation for their service.  In moments of crisis, what the people need most is the healing touch of compassion, and I am deeply grateful to our delegation for offering just that. It reaffirms our collective promise that as public representatives, we will always stand by the people in their hour of need.",@ZackPreacher,2025-05-24T19:49:51.000Z,-1218090260875100000,en,negative,hate,0.88,0.23,unrelated
Delegation visited murshidabad or not madam?,Delegation visited murshidabad or not madam?,Delegation visited murshidabad or not madam?,"I deeply appreciate the efforts of our 5-member delegation who visited the border districts of Poonch and Rajouri, recently affected by cross-border shelling. They met grieving families, shared in their sorrow, and offered words of comfort and support during this time of immense pain.  The delegation also visited the Government Medical College in Rajouri to check on those injured and undergoing treatment. They interacted with the attending doctors and conveyed deep appreciation for their service.  In moments of crisis, what the people need most is the healing touch of compassion, and I am deeply grateful to our delegation for offering just that. It reaffirms our collective promise that as public representatives, we will always stand by the people in their hour of need.",@Nalayukkk,2025-05-24T16:42:48.000Z,-1218090260875100000,en,neutral,criticism,0.67,0.49,related
Distance between Calcutta and Srinagar  :  2262 kms Distance between Calcutta and Murshidabad  :  216 kms সত্য সেলুকাস  কি বিচিত্র এই দেশ  !!!,Distance between Calcutta and Srinagar : 2262 kms Distance between Calcutta and Murshidabad : 216 kms সত্য সেলুকাস কি বিচিত্র এই দেশ !!!,Distance between Calcutta and Srinagar : 2262 kms Distance between Calcutta and Murshidabad : 216 kms সত্য সেলুকাস কি বিচিত্র এই দেশ !!!,"I deeply appreciate the efforts of our 5-member delegation who visited the border districts of Poonch and Rajouri, recently affected by cross-border shelling. They met grieving families, shared in their sorrow, and offered words of comfort and support during this time of immense pain.  The delegation also visited the Government Medical College in Rajouri to check on those injured and undergoing treatment. They interacted with the attending doctors and conveyed deep appreciation for their service.  In moments of crisis, what the people need most is the healing touch of compassion, and I am deeply grateful to our delegation for offering just that. It reaffirms our collective promise that as public representatives, we will always stand by the people in their hour of need.",@Puspendu_RSP,2025-05-24T18:41:52.000Z,-1218090260875100000,en,negative,insult,0.42,0.26,unrelated
"Worry about your state.. large scale drone sighting un kolkata sky.. ur cops r sleeping.. places like tangda, mominpur, metiabruz etc r bcming breeding grounds fr large scale anti national activities. U r either sleeping or complicit.","Worry about your state.. large scale drone sighting un kolkata sky.. ur cops r sleeping.. places like tangda, mominpur, metiabruz etc r bcming breeding grounds fr large scale anti national activities. U r either sleeping or complicit.","Worry about your state.. large scale drone sighting un kolkata sky.. ur cops r sleeping.. places like tangda, mominpur, metiabruz etc r bcming breeding grounds fr large scale anti national activities. U r either sleeping or complicit.","I deeply appreciate the efforts of our 5-member delegation who visited the border districts of Poonch and Rajouri, recently affected by cross-border shelling. They met grieving families, shared in their sorrow, and offered words of comfort and support during this time of immense pain.  The delegation also visited the Government Medical College in Rajouri to check on those injured and undergoing treatment. They interacted with the attending doctors and conveyed deep appreciation for their service.  In moments of crisis, what the people need most is the healing touch of compassion, and I am deeply grateful to our delegation for offering just that. It reaffirms our collective promise that as public representatives, we will always stand by the people in their hour of need.",@Adm_Gen_Alladin,2025-05-24T17:31:37.000Z,-1218090260875100000,en,negative,criticism,0.87,0.23,unrelated
Kolkata to Murshidabad 216 Km  Kolkata to Poonch 2294 Km.,Kolkata to Murshidabad 216 Km Kolkata to Poonch 2294 Km.,Kolkata to Murshidabad 216 Km Kolkata to Poonch 2294 Km.,"I deeply appreciate the efforts of our 5-member delegation who visited the border districts of Poonch and Rajouri, recently affected by cross-border shelling. They met grieving families, shared in their sorrow, and offered words of comfort and support during this time of immense pain.  The delegation also visited the Government Medical College in Rajouri to check on those injured and undergoing treatment. They interacted with the attending doctors and conveyed deep appreciation for their service.  In moments of crisis, what the people need most is the healing touch of compassion, and I am deeply grateful to our delegation for offering just that. It reaffirms our collective promise that as public representatives, we will always stand by the people in their hour of need.",@jammuvishal,2025-05-24T18:19:21.000Z,-1218090260875100000,so,neutral,criticism,0.75,0.31,unrelated
"Instead of doing all these nuisance, you should have done your duty as CM WB at the Niti Ayog meet which as usual, you skipped.  Why are you afraid to go to any meeting outside WB, Kolkata?? Because they ask you hard questions? They all know your rank incompetence, corruption.","Instead of doing all these nuisance, you should have done your duty as CM WB at the Niti Ayog meet which as usual, you skipped. Why are you afraid to go to any meeting outside WB, Kolkata?? Because they ask you hard questions? They all know your rank incompetence, corruption.","Instead of doing all these nuisance, you should have done your duty as CM WB at the Niti Ayog meet which as usual, you skipped. Why are you afraid to go to any meeting outside WB, Kolkata?? Because they ask you hard questions? They all know your rank incompetence, corruption.","I deeply appreciate the efforts of our 5-member delegation who visited the border districts of Poonch and Rajouri, recently affected by cross-border shelling. They met grieving families, shared in their sorrow, and offered words of comfort and support during this time of immense pain.  The delegation also visited the Government Medical College in Rajouri to check on those injured and undergoing treatment. They interacted with the attending doctors and conveyed deep appreciation for their service.  In moments of crisis, what the people need most is the healing touch of compassion, and I am deeply grateful to our delegation for offering just that. It reaffirms our collective promise that as public representatives, we will always stand by the people in their hour of need.",@Arijit_Dodul,2025-05-24T17:22:51.000Z,-1218090260875100000,en,negative,criticism,0.85,0.2,unrelated
"I guess murshidabad is in another country, hence your delegates can't go there.","I guess murshidabad is in another country, hence your delegates can't go there.","I guess murshidabad is in another country, hence your delegates can't go there.","I deeply appreciate the efforts of our 5-member delegation who visited the border districts of Poonch and Rajouri, recently affected by cross-border shelling. They met grieving families, shared in their sorrow, and offered words of comfort and support during this time of immense pain.  The delegation also visited the Government Medical College in Rajouri to check on those injured and undergoing treatment. They interacted with the attending doctors and conveyed deep appreciation for their service.  In moments of crisis, what the people need most is the healing touch of compassion, and I am deeply grateful to our delegation for offering just that. It reaffirms our collective promise that as public representatives, we will always stand by the people in their hour of need.",@janawlek,2025-05-24T17:34:11.000Z,-1218090260875100000,en,negative,criticism,0.77,0.17,unrelated
"What purpose does it serve?   You can't response to the shelling by Pakistan and are too broke to help these people rebuild their houses, lives.   You are merely creating some good optics with your Muslim votebank and covering up your gross incompetence and failures in govt","What purpose does it serve? You can't response to the shelling by Pakistan and are too broke to help these people rebuild their houses, lives. You are merely creating some good optics with your Muslim votebank and covering up your gross incompetence and failures in govt","What purpose does it serve? You can't response to the shelling by Pakistan and are too broke to help these people rebuild their houses, lives. You are merely creating some good optics with your Muslim votebank and covering up your gross incompetence and failures in govt","I deeply appreciate the efforts of our 5-member delegation who visited the border districts of Poonch and Rajouri, recently affected by cross-border shelling. They met grieving families, shared in their sorrow, and offered words of comfort and support during this time of immense pain.  The delegation also visited the Government Medical College in Rajouri to check on those injured and undergoing treatment. They interacted with the attending doctors and conveyed deep appreciation for their service.  In moments of crisis, what the people need most is the healing touch of compassion, and I am deeply grateful to our delegation for offering just that. It reaffirms our collective promise that as public representatives, we will always stand by the people in their hour of need.",@Arijit_Dodul,2025-05-24T17:17:01.000Z,-1218090260875100000,en,negative,criticism,0.93,0.28,unrelated
They should go to the murshidabad also to inquire. about 400 Hindu fled from murshidabad. You have become like a laughing stock of Bengal,They should go to the murshidabad also to inquire. about 400 Hindu fled from murshidabad. You have become like a laughing stock of Bengal,They should go to the murshidabad also to inquire. about 400 Hindu fled from murshidabad. You have become like a laughing stock of Bengal,"I deeply appreciate the efforts of our 5-member delegation who visited the border districts of Poonch and Rajouri, recently affected by cross-border shelling. They met grieving families, shared in their sorrow, and offered words of comfort and support during this time of immense pain.  The delegation also visited the Government Medical College in Rajouri to check on those injured and undergoing treatment. They interacted with the attending doctors and conveyed deep appreciation for their service.  In moments of crisis, what the people need most is the healing touch of compassion, and I am deeply grateful to our delegation for offering just that. It reaffirms our collective promise that as public representatives, we will always stand by the people in their hour of need.",@NirmalGanguly,2025-05-24T19:24:32.000Z,-1218090260875100000,en,negative,insult,0.85,0.36,unrelated
Shut your mouth characterless lady who does the riots in WB against Hindus. Plastic ke keede padenge Tum logo ko.,Shut your mouth characterless lady who does the riots in WB against Hindus. Plastic ke keede padenge Tum logo ko.,Shut your mouth characterless lady who does the riots in WB against Hindus. Plastic ke keede padenge Tum logo ko.,"I deeply appreciate the efforts of our 5-member delegation who visited the border districts of Poonch and Rajouri, recently affected by cross-border shelling. They met grieving families, shared in their sorrow, and offered words of comfort and support during this time of immense pain.  The delegation also visited the Government Medical College in Rajouri to check on those injured and undergoing treatment. They interacted with the attending doctors and conveyed deep appreciation for their service.  In moments of crisis, what the people need most is the healing touch of compassion, and I am deeply grateful to our delegation for offering just that. It reaffirms our collective promise that as public representatives, we will always stand by the people in their hour of need.",@Pranjaljoshi93,2025-05-24T18:37:54.000Z,-1218090260875100000,en,negative,criticism,0.82,0.15,unrelated
But you forgot about murshidabad miss madam,But you forgot about murshidabad miss madam,But you forgot about murshidabad miss madam,"I deeply appreciate the efforts of our 5-member delegation who visited the border districts of Poonch and Rajouri, recently affected by cross-border shelling. They met grieving families, shared in their sorrow, and offered words of comfort and support during this time of immense pain.  The delegation also visited the Government Medical College in Rajouri to check on those injured and undergoing treatment. They interacted with the attending doctors and conveyed deep appreciation for their service.  In moments of crisis, what the people need most is the healing touch of compassion, and I am deeply grateful to our delegation for offering just that. It reaffirms our collective promise that as public representatives, we will always stand by the people in their hour of need.",@SahebDa01081191,2025-05-24T18:47:56.000Z,-1218090260875100000,en,negative,criticism,0.63,0.31,unrelated
And yet Murshidabad seemed very far and inaccessible.,And yet Murshidabad seemed very far and inaccessible.,And yet Murshidabad seemed very far and inaccessible.,"I deeply appreciate the efforts of our 5-member delegation who visited the border districts of Poonch and Rajouri, recently affected by cross-border shelling. They met grieving families, shared in their sorrow, and offered words of comfort and support during this time of immense pain.  The delegation also visited the Government Medical College in Rajouri to check on those injured and undergoing treatment. They interacted with the attending doctors and conveyed deep appreciation for their service.  In moments of crisis, what the people need most is the healing touch of compassion, and I am deeply grateful to our delegation for offering just that. It reaffirms our collective promise that as public representatives, we will always stand by the people in their hour of need.",@Nabarun89360878,2025-05-24T17:43:13.000Z,-1218090260875100000,en,negative,criticism,0.85,0.22,unrelated
